date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:05	24/24	U-----	200	untouched ('OK')	text/plain	etag:%22696fe0b9-18%22	https://sms.zut.ac.zm/robots.txt		(from )
19:38:06	5446/5446	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2021%20Jan%202026%2017:38:05%20GMT	https://sms.zut.ac.zm/login	lab_site_clone/sms.zut.ac.zm/login.html	(from )
19:38:39	47633/47633	U-----	200	untouched ('OK')	text/css	etag:%22696fe0b9-ba11%22	https://sms.zut.ac.zm/global_assets/css/icons/icomoon/styles.css	lab_site_clone/sms.zut.ac.zm/global_assets/css/icons/icomoon/styles.css	(from https://sms.zut.ac.zm/login)
19:38:39	136230/136230	U-----	200	untouched ('OK')	text/css	etag:%22696fe0b9-21426%22	https://sms.zut.ac.zm/assets/css/bootstrap.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/bootstrap.min.css	(from https://sms.zut.ac.zm/login)
19:38:39	29822/29822	U-----	200	untouched ('OK')	text/css	etag:%22696fe0b9-747e%22	https://sms.zut.ac.zm/assets/css/layout.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/layout.min.css	(from https://sms.zut.ac.zm/login)
19:38:39	78956/78956	U-----	200	untouched ('OK')	text/css	etag:%22696fe0b9-1346c%22	https://sms.zut.ac.zm/assets/css/bootstrap_limitless.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/bootstrap_limitless.min.css	(from https://sms.zut.ac.zm/login)
19:39:12	308025/308025	U-----	200	untouched ('OK')	text/css	etag:%22696fe0b9-4b339%22	https://sms.zut.ac.zm/assets/css/components.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/components.min.css	(from https://sms.zut.ac.zm/login)
19:39:13	37642/37642	U-----	200	untouched ('OK')	text/css	etag:%22696fe0b9-930a%22	https://sms.zut.ac.zm/assets/css/colors.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/colors.min.css	(from https://sms.zut.ac.zm/login)
19:39:13	86927/86927	U-----	200	untouched ('')	application/javascript	etag:%22696fe0b9-1538f%22	https://sms.zut.ac.zm/global_assets/js/main/jquery.min.js	lab_site_clone/sms.zut.ac.zm/global_assets/js/main/jquery.min.js	(from https://sms.zut.ac.zm/login)
19:39:13	70682/70682	U-----	200	untouched ('')	application/javascript	etag:%22696fe0b9-1141a%22	https://sms.zut.ac.zm/global_assets/js/main/bootstrap.bundle.min.js	lab_site_clone/sms.zut.ac.zm/global_assets/js/main/bootstrap.bundle.min.js	(from https://sms.zut.ac.zm/login)
